City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,beroroha,-21.6667,45.1667,23.11,33,100,1.35,MG,1689533787
348,nabire,-3.3667,135.4833,24.58,91,94,2.47,ID,1689533788
349,cabo san lucas,22.8909,-109.9124,34.78,72,20,4.12,MX,1689533789
350,bako,5.7833,36.5667,20.02,66,90,1.28,ET,1689533789
351,kerikeri,-35.2268,173.9474,9.95,90,0,4.1,NZ,1689533699
352,scone,56.4194,-3.4051,16.7,76,69,2.68,GB,1689533790
353,birzai,56.2,24.75,19.57,94,100,5.0,LT,1689533790
354,mount isa,-20.7333,139.5,19.87,60,100,2.57,AU,1689533707
355,tofol,5.3248,163.0078,27.8,80,100,6.18,FM,1689533607
356,malindi,-3.2175,40.1191,25.09,78,20,5.14,KE,1689533790
357,lautoka,-17.6167,177.4667,18.92,88,20,2.06,FJ,1689533790
358,tavda,58.0425,65.2726,13.86,78,100,2.22,RU,1689533791
359,beichengqu,40.4394,113.1536,18.94,40,0,1.38,CN,1689533794
360,manokwari,-0.8667,134.0833,25.15,82,51,1.1,ID,1689533794
361,lerwick,60.1545,-1.1494,13.0,89,65,5.13,GB,1689533548
362,shanga,11.2106,4.5788,30.29,58,9,2.67,NG,1689533794
